item_fat_content,item_visibility,item_type,item_mrp,outlet_type,outlet_location_type,item_weight_mean,outlet_size_mode,item_outlet_sales
low fat,0.016047301,dairy,249.8092,supermarket,tier 1,9.3,medium,3735.138
regular,0.019278216,soft drinks,48.2692,supermarket,tier 3,5.92,medium,443.4228
low fat,0.016760075,meat,141.618,supermarket,tier 1,17.5,medium,2097.27
regular,0.0,fruits and vegetables,182.095,grocery store,tier 3,19.2,medium,732.38
low fat,0.0,household,53.8614,supermarket,tier 3,8.93,high,994.7052
regular,0.0,baking goods,51.4008,supermarket,tier 3,10.395,medium,556.6088
regular,0.012741089,snack foods,57.6588,supermarket,tier 3,13.65,high,343.5528
low fat,0.127469857,snack foods,107.7622,supermarket,tier 3,12.857645184136183,medium,4022.7636
regular,0.016687114,frozen foods,96.9726,supermarket,tier 2,16.2,medium,1076.5986
regular,0.09444959,frozen foods,187.8214,supermarket,tier 2,19.2,medium,4710.535
low fat,0.0,fruits and vegetables,45.5402,supermarket,tier 1,11.8,medium,1516.0266
regular,0.045463773,dairy,144.1102,supermarket,tier 1,18.5,small,2187.153
regular,0.1000135,fruits and vegetables,145.4786,supermarket,tier 1,15.1,medium,1589.2646
regular,0.047257328,snack foods,119.6782,supermarket,tier 1,17.6,small,2145.2076
low fat,0.0680243,fruits and vegetables,196.4426,supermarket,tier 3,16.35,high,1977.426
regular,0.069088961,breakfast,56.3614,supermarket,tier 1,9.0,small,1547.3192
low fat,0.008596051,health and hygiene,115.3492,supermarket,tier 3,11.8,medium,1621.8888
regular,0.069196376,breakfast,54.3614,supermarket,tier 1,9.0,medium,718.3982
low fat,0.034237682,hard drinks,113.2834,supermarket,tier 3,12.857645184136183,medium,2303.668
low fat,0.10249212,dairy,230.5352,supermarket,tier 2,13.35,small,2748.4224
regular,0.138190277,snack foods,250.8724,supermarket,tier 3,18.85,high,3775.086
regular,0.035399923,baking goods,144.5444,supermarket,tier 3,12.857645184136183,medium,4064.0432
low fat,0.025698134,household,196.5084,supermarket,tier 2,14.6,small,1587.2672
low fat,0.057556998,baking goods,107.6938,grocery store,tier 1,12.857645184136183,small,214.3876
regular,0.025896485,frozen foods,165.021,supermarket,tier 1,13.85,small,4078.025
low fat,0.099887103,household,45.906,supermarket,tier 2,13.0,medium,838.908
regular,0.066693437,snack foods,42.3112,supermarket,tier 2,7.645,small,1065.28
low fat,0.019356132,hard drinks,39.1164,supermarket,tier 3,11.65,high,308.9312
regular,0.161466534,dairy,45.5086,grocery store,tier 3,5.925,medium,178.4344
regular,0.072221801,canned,43.6454,grocery store,tier 1,12.857645184136183,small,125.8362
low fat,0.170348551,dairy,55.7956,grocery store,tier 3,19.25,medium,163.7868
low fat,0.080829372,health and hygiene,96.4436,supermarket,tier 3,18.6,medium,2741.7644
low fat,0.0,snack foods,256.6672,supermarket,tier 3,18.7,medium,3068.0064
low fat,0.0,breads,93.1436,supermarket,tier 2,17.85,medium,2174.5028
low fat,0.097904029,soft drinks,174.8738,supermarket,tier 1,17.5,small,2085.2856
low fat,0.089291137,health and hygiene,146.7102,supermarket,tier 1,10.0,medium,3791.0652
regular,0.059511812,fruits and vegetables,128.0678,supermarket,tier 3,12.857645184136183,medium,2797.6916
regular,0.113123893,soft drinks,122.5388,supermarket,tier 3,8.85,medium,1609.9044
regular,0.123111453,snack foods,36.9874,supermarket,tier 3,12.857645184136183,medium,388.1614
low fat,0.026480954,snack foods,87.6198,supermarket,tier 3,12.857645184136183,medium,2180.495
low fat,0.102511504,dairy,230.6352,supermarket,tier 1,13.35,small,3435.528
low fat,0.02681843,meat,126.002,supermarket,tier 3,9.8,high,2150.534
low fat,0.117818348,snack foods,192.9136,supermarket,tier 1,13.6,medium,2527.3768
low fat,0.069102831,canned,259.9278,supermarket,tier 3,21.35,medium,6768.5228
regular,0.042277867,canned,126.5046,supermarket,tier 3,12.15,high,373.5138
low fat,0.089498926,dairy,178.1002,grocery store,tier 3,6.42,medium,358.2004
low fat,0.0,health and hygiene,153.3024,supermarket,tier 2,19.6,medium,2428.8384
low fat,0.025879577,canned,265.2226,supermarket,tier 2,10.0,medium,5815.0972
regular,0.121632721,baking goods,60.622,supermarket,tier 1,15.85,small,2576.646
regular,0.255394896,dairy,196.8794,grocery store,tier 1,12.857645184136183,small,780.3176
low fat,0.067779712,health and hygiene,143.8812,supermarket,tier 1,7.39,small,3134.5864
low fat,0.159803853,frozen foods,141.5154,supermarket,tier 3,10.195,high,850.8924
regular,0.028696932,canned,117.0492,supermarket,tier 3,9.895,high,810.9444
low fat,0.065041581,fruits and vegetables,196.3794,supermarket,tier 2,10.895,medium,3121.2704
low fat,0.028760013,household,151.4708,supermarket,tier 2,12.15,medium,4815.0656
low fat,0.010053105,snack foods,249.0408,supermarket,tier 3,7.905,medium,6258.52
low fat,0.048157338,household,106.1622,supermarket,tier 2,9.195,medium,2117.244
low fat,0.071958197,hard drinks,38.0506,supermarket,tier 1,8.365,medium,796.9626
low fat,0.173481304,snack foods,194.511,supermarket,tier 1,15.1,small,4910.275
low fat,0.061082177,canned,180.0344,grocery store,tier 1,12.857645184136183,small,892.172
low fat,0.0,fruits and vegetables,246.9144,supermarket,tier 3,10.0,medium,3185.1872
regular,0.040071131,meat,87.3514,supermarket,tier 2,7.97,medium,1062.6168
low fat,0.012090074,fruits and vegetables,38.2848,supermarket,tier 3,12.857645184136183,medium,484.7024
regular,0.15028599,frozen foods,51.0692,grocery store,tier 1,12.857645184136183,small,147.8076
low fat,0.026015519,snack foods,255.8356,supermarket,tier 3,12.857645184136183,medium,2543.356
low fat,0.195068226,snack foods,185.4266,grocery store,tier 3,17.7,medium,184.4266
