item_fat_content,item_visibility,item_type,item_mrp,outlet_type,outlet_location_type,item_weight_mean,outlet_size_mode,item_outlet_sales
low fat,0.026299797,frozen foods,79.4302,supermarket,tier 3,14.3,high,1743.0644
low fat,0.07113587,health and hygiene,42.7086,supermarket,tier 1,7.93,small,356.8688
regular,0.041313203,canned,42.0454,supermarket,tier 1,14.5,medium,377.5086
regular,0.044767032,soft drinks,173.7054,supermarket,tier 3,12.857645184136183,medium,5778.4782
regular,0.012455787,meat,197.511,supermarket,tier 2,10.195,small,2356.932
low fat,0.041951439,soft drinks,32.49,supermarket,tier 1,9.5,medium,865.54
low fat,0.126831854,canned,209.027,supermarket,tier 3,12.857645184136183,medium,4613.994
regular,0.013551445,snack foods,142.0154,supermarket,tier 3,10.5,medium,2410.8618
low fat,0.023831558,baking goods,103.1332,supermarket,tier 3,14.0,medium,1948.1308
low fat,0.016176344,household,192.1478,supermarket,tier 3,8.51,medium,1937.478
low fat,0.026814124,household,103.7964,grocery store,tier 3,8.85,medium,210.3928
low fat,0.073229342,household,254.1014,grocery store,tier 1,12.857645184136183,small,255.0014
low fat,0.029107004,snack foods,240.5222,supermarket,tier 2,10.8,medium,4541.4218
regular,0.0,baking goods,49.2008,supermarket,tier 3,9.8,high,657.8104
low fat,0.042180995,dairy,52.0982,supermarket,tier 1,14.15,small,578.5802
low fat,0.059835659,health and hygiene,264.3226,supermarket,tier 2,6.825,small,4229.1616
low fat,0.093861144,snack foods,115.5834,supermarket,tier 2,7.07,medium,1267.0174
regular,0.105287746,baking goods,103.2648,supermarket,tier 2,11.15,small,2388.8904
regular,0.068059156,dairy,120.344,supermarket,tier 1,18.85,medium,1797.66
low fat,0.127792701,fruits and vegetables,111.1886,supermarket,tier 3,12.857645184136183,medium,4447.544
regular,0.073060301,frozen foods,196.2426,supermarket,tier 2,13.65,medium,2570.6538
low fat,0.028339599,canned,162.4894,supermarket,tier 3,7.96,high,1779.6834
low fat,0.043852434,snack foods,182.695,supermarket,tier 2,13.15,medium,4211.185
low fat,0.063664998,frozen foods,151.6708,supermarket,tier 1,13.3,medium,3912.2408
low fat,0.119345629,household,261.991,supermarket,tier 2,6.235,medium,2366.919
low fat,0.014522363,soft drinks,50.2324,supermarket,tier 3,12.857645184136183,medium,1298.31
regular,0.256152243,seafood,151.005,grocery store,tier 1,12.857645184136183,small,149.805
regular,0.0,frozen foods,228.4668,supermarket,tier 1,9.5,medium,3916.2356
regular,0.048207431,fruits and vegetables,188.0556,supermarket,tier 2,20.6,medium,2065.3116
regular,0.056406129,breakfast,231.43,supermarket,tier 1,13.85,medium,3029.39
regular,0.085834992,frozen foods,49.6692,supermarket,tier 1,15.5,small,788.3072
regular,0.077164595,frozen foods,172.5106,supermarket,tier 1,11.6,small,2566.659
regular,0.159690469,snack foods,142.4128,supermarket,tier 2,16.5,small,575.2512
low fat,0.014456938,health and hygiene,184.795,supermarket,tier 2,8.235,small,1464.76
regular,0.066336811,baking goods,154.1656,grocery store,tier 1,12.857645184136183,small,617.8624
regular,0.025899245,snack foods,81.1302,supermarket,tier 3,13.65,high,792.302
regular,0.016060186,breads,47.2402,supermarket,tier 2,17.6,medium,505.3422
low fat,0.104658344,frozen foods,121.2072,supermarket,tier 2,18.7,small,1470.0864
low fat,0.052086085,fruits and vegetables,76.8986,supermarket,tier 2,7.72,medium,467.3916
low fat,0.009998763,meat,182.3608,supermarket,tier 1,21.25,small,551.2824
regular,0.311090379,baking goods,79.2328,grocery store,tier 3,12.35,medium,154.4656
low fat,0.071230537,starchy foods,128.102,supermarket,tier 2,12.5,small,885.514
low fat,0.036596012,snack foods,90.6488,supermarket,tier 2,16.85,medium,633.8416
low fat,0.121149472,canned,93.7778,supermarket,tier 3,8.71,high,1783.6782
low fat,0.027164679,canned,152.334,supermarket,tier 2,7.55,small,2603.278
low fat,0.06082246,baking goods,85.154,supermarket,tier 2,13.5,medium,605.878
low fat,0.017191055,dairy,51.535,supermarket,tier 2,7.935,medium,848.895
low fat,0.023971463,fruits and vegetables,54.0272,supermarket,tier 1,10.65,small,447.4176
low fat,0.0420611,household,254.1014,supermarket,tier 2,13.0,medium,3315.0182
low fat,0.008764786,fruits and vegetables,123.1414,supermarket,tier 1,9.21,small,4264.449
low fat,0.014675574,soft drinks,50.8324,supermarket,tier 2,18.7,medium,934.7832
regular,0.029697925,dairy,143.0786,supermarket,tier 3,14.0,high,3178.5292
regular,0.069196376,breakfast,54.3614,supermarket,tier 1,9.0,medium,718.3982
low fat,0.121554149,meat,53.7324,grocery store,tier 1,12.857645184136183,small,311.5944
low fat,0.0821398,baking goods,37.2164,supermarket,tier 1,5.765,medium,579.246
low fat,0.077011493,household,117.3492,supermarket,tier 2,7.235,medium,1506.0396
low fat,0.089004389,frozen foods,196.7452,supermarket,tier 2,18.25,medium,978.726
regular,0.05443912,breads,128.831,supermarket,tier 3,8.6,high,1038.648
low fat,0.084885375,frozen foods,39.2796,supermarket,tier 1,6.4,medium,701.7532
low fat,0.032811503,frozen foods,239.6906,supermarket,tier 2,7.5,medium,2614.5966
regular,0.061299601,soft drinks,56.2614,supermarket,tier 2,12.1,medium,552.614
low fat,0.17314115,household,168.4448,grocery store,tier 3,12.5,medium,170.4448
low fat,0.025286583,health and hygiene,151.8024,supermarket,tier 1,19.6,small,1366.2216
low fat,0.058451805,health and hygiene,79.9618,supermarket,tier 3,12.857645184136183,medium,241.6854
low fat,0.0,soft drinks,121.044,supermarket,tier 3,12.857645184136183,medium,2396.88
low fat,0.032538896,meat,165.7842,supermarket,tier 1,16.35,small,2652.5472
low fat,0.073396761,seafood,35.1216,supermarket,tier 2,17.75,small,830.9184
low fat,0.145013434,health and hygiene,225.0404,supermarket,tier 2,12.15,small,4950.8888
low fat,0.03593692,soft drinks,41.0138,supermarket,tier 2,14.15,small,771.6622
regular,0.0,snack foods,263.7568,supermarket,tier 2,5.78,medium,2636.568
low fat,0.077389797,health and hygiene,60.8536,supermarket,tier 3,20.1,high,1347.5792
low fat,0.048637888,baking goods,149.7708,grocery store,tier 1,12.857645184136183,small,150.4708
low fat,0.060967038,household,254.3698,supermarket,tier 2,14.85,small,4566.0564
regular,0.048625599,baking goods,129.2626,supermarket,tier 2,5.465,medium,1311.626
low fat,0.152294691,breakfast,98.9358,supermarket,tier 1,18.6,medium,1508.037
low fat,0.079279489,canned,77.2644,supermarket,tier 3,9.0,high,1335.5948
low fat,0.123449671,canned,89.7488,supermarket,tier 3,12.857645184136183,medium,1901.5248
low fat,0.0,breads,93.1436,supermarket,tier 2,17.85,medium,2174.5028
regular,0.046844194,fruits and vegetables,174.2422,supermarket,tier 1,8.77,medium,1379.5376
low fat,0.035084073,canned,176.4344,supermarket,tier 2,5.94,medium,2141.2128
low fat,0.0,household,53.2614,supermarket,tier 1,8.93,medium,552.614
regular,0.054846706,meat,147.3734,supermarket,tier 3,12.857645184136183,medium,3266.4148
regular,0.049280292,frozen foods,245.6144,supermarket,tier 1,9.285,small,3920.2304
regular,0.0,breads,84.5908,supermarket,tier 3,12.857645184136183,medium,3020.0688
regular,0.0,snack foods,177.4028,supermarket,tier 1,8.31,small,3896.2616
low fat,0.139735226,frozen foods,147.5392,supermarket,tier 2,13.35,medium,3877.6192
low fat,0.055545797,dairy,220.5114,supermarket,tier 2,17.0,medium,5321.0736
regular,0.115119905,baking goods,88.3514,supermarket,tier 2,5.425,medium,1416.8224
low fat,0.017755213,health and hygiene,211.7244,supermarket,tier 2,19.0,medium,2752.4172
low fat,0.023339367,fruits and vegetables,94.8778,supermarket,tier 3,12.857645184136183,medium,4036.7454
regular,0.086983591,fruits and vegetables,219.8456,supermarket,tier 3,12.857645184136183,medium,1547.3192
regular,0.05671761,snack foods,62.9168,supermarket,tier 2,5.59,medium,1406.1696
low fat,0.097884718,canned,52.5324,supermarket,tier 1,8.5,small,1194.4452
regular,0.03263762,frozen foods,147.7102,supermarket,tier 2,10.895,medium,1895.5326
regular,0.08125293,snack foods,49.8008,supermarket,tier 2,8.895,medium,1062.6168
regular,0.016622448,fruits and vegetables,50.2034,supermarket,tier 1,17.7,medium,1166.4816
low fat,0.037923509,frozen foods,61.651,supermarket,tier 3,9.31,high,379.506
low fat,0.056379439,frozen foods,42.7454,supermarket,tier 1,17.6,medium,293.6178
low fat,0.018097419,health and hygiene,96.9094,supermarket,tier 3,17.85,medium,1332.9316
low fat,0.040550868,dairy,45.5718,grocery store,tier 3,19.6,medium,47.2718
low fat,0.091723066,snack foods,148.8708,supermarket,tier 2,13.35,medium,3761.77
low fat,0.148492521,fruits and vegetables,240.6854,supermarket,tier 2,7.475,small,1691.7978
low fat,0.013692598,frozen foods,259.7304,supermarket,tier 3,17.5,medium,3616.6256
regular,0.072541731,dairy,48.5692,supermarket,tier 2,12.35,medium,886.8456
low fat,0.131770922,baking goods,151.1024,supermarket,tier 2,11.65,medium,1518.024
regular,0.018968743,fruits and vegetables,61.9536,supermarket,tier 2,15.7,medium,1225.072
regular,0.008615,meat,72.4038,supermarket,tier 2,16.75,medium,739.038
low fat,0.015775777,household,179.1976,supermarket,tier 2,17.6,medium,3803.0496
regular,0.048207017,dairy,45.9376,supermarket,tier 1,10.5,small,575.2512
low fat,0.058083831,health and hygiene,103.199,supermarket,tier 3,8.485,high,722.393
low fat,0.165838224,dairy,36.6506,supermarket,tier 1,15.75,small,607.2096
low fat,0.086619573,frozen foods,147.6076,supermarket,tier 2,7.3,medium,3251.7672
regular,0.102723919,canned,93.212,supermarket,tier 1,20.25,small,1957.452
regular,0.053586458,fruits and vegetables,89.7856,supermarket,tier 3,12.857645184136183,medium,966.7416
