Unnamed: 0,item_fat_content,item_visibility,item_type,item_mrp,outlet_type,outlet_location_type,item_weight_mean,outlet_size_mode,item_outlet_sales
549,regular,0.035205866,fruits and vegetables,171.3448,supermarket,tier 1,9.5,medium,2386.2272
7757,low fat,0.047473135,household,170.5422,supermarket,tier 2,18.0,medium,3103.9596
764,regular,0.076121831,meat,111.7202,supermarket,tier 1,17.6,small,1125.202
6867,low fat,0.029845243,fruits and vegetables,41.6138,supermarket,tier 2,8.325,medium,284.2966
2716,low fat,0.137227848,snack foods,155.563,supermarket,tier 1,12.85,small,4224.501
5404,regular,0.099780431,fruits and vegetables,225.2088,grocery store,tier 1,12.857645184136183,small,447.4176
6657,low fat,0.014008751,dairy,171.3422,grocery store,tier 1,12.857645184136183,small,862.211
1372,regular,0.13283066,fruits and vegetables,190.6872,supermarket,tier 2,12.15,medium,2269.0464
2992,low fat,0.031338558,others,41.048,supermarket,tier 1,13.85,small,639.168
333,regular,0.056596985,snack foods,230.9984,supermarket,tier 3,12.857645184136183,medium,9267.936
1259,regular,0.100262068,baking goods,169.6132,grocery store,tier 3,20.0,medium,169.1132
1965,low fat,0.079952983,meat,62.7826,supermarket,tier 3,7.825,medium,1162.4868
5955,low fat,0.107940533,household,35.5558,supermarket,tier 3,19.25,high,305.6022
6081,regular,0.0,soft drinks,43.0086,supermarket,tier 1,6.11,medium,713.7376
1024,low fat,0.029445361,household,257.6646,supermarket,tier 1,16.35,small,2061.3168
3184,low fat,0.14048631,hard drinks,252.7382,supermarket,tier 3,15.75,high,3280.3966
752,regular,0.013529884,fruits and vegetables,106.2596,supermarket,tier 3,12.857645184136183,medium,1402.1748
4678,regular,0.041098734,fruits and vegetables,80.9276,supermarket,tier 3,17.7,medium,487.3656
5717,low fat,0.114246019,health and hygiene,231.23,supermarket,tier 2,21.25,medium,3029.39
4370,regular,0.047266211,snack foods,97.0068,supermarket,tier 1,17.25,small,1846.9292
351,regular,0.063993068,breads,260.4594,supermarket,tier 2,14.5,medium,5494.8474
1511,low fat,0.0,household,157.7972,supermarket,tier 3,8.02,high,1713.7692
4500,low fat,0.026832182,canned,57.3246,supermarket,tier 2,12.35,medium,1332.2658
3091,low fat,0.032652796,health and hygiene,190.8162,supermarket,tier 2,16.75,medium,2886.243
4977,low fat,0.034874689,household,161.721,supermarket,tier 1,5.11,small,2446.815
7335,low fat,0.055793586,household,139.7496,supermarket,tier 3,15.1,high,3952.1888
4055,low fat,0.134418705,household,99.67,supermarket,tier 3,12.857645184136183,medium,2596.62
6499,low fat,0.098083231,canned,50.3324,supermarket,tier 2,8.5,medium,675.1212
3615,regular,0.063121982,frozen foods,231.7668,supermarket,tier 3,10.0,high,460.7336
2036,low fat,0.122204371,fruits and vegetables,173.5738,supermarket,tier 2,16.6,small,1911.5118
7000,regular,0.043133816,fruits and vegetables,109.7254,supermarket,tier 3,14.6,medium,651.1524
561,low fat,0.075836522,dairy,40.2138,grocery store,tier 3,19.1,medium,81.2276
5502,low fat,0.019476708,health and hygiene,193.0794,supermarket,tier 2,14.8,small,3901.588
4706,low fat,0.121227447,snack foods,197.5452,supermarket,tier 2,20.85,small,4306.3944
2847,regular,0.099188598,frozen foods,88.9856,supermarket,tier 3,16.0,high,1669.8264
4537,low fat,0.045900448,snack foods,118.9124,supermarket,tier 3,12.857645184136183,medium,2844.2976
6315,low fat,0.0,baking goods,37.2874,supermarket,tier 3,12.3,high,705.748
2061,regular,0.11521312,canned,112.0202,supermarket,tier 2,15.7,medium,3150.5656
6739,regular,0.055226755,canned,123.1046,supermarket,tier 1,7.81,small,871.5322
6299,regular,0.046960237,baking goods,111.857,supermarket,tier 1,8.38,medium,2966.139
3964,low fat,0.028980533,health and hygiene,129.531,supermarket,tier 3,14.0,medium,2077.296
4139,regular,0.086184647,frozen foods,50.9692,supermarket,tier 3,15.5,medium,394.1536
5474,low fat,0.072383777,hard drinks,251.504,supermarket,tier 2,8.395,medium,7084.112
1047,low fat,0.162980276,hard drinks,145.2444,supermarket,tier 1,7.85,small,1451.444
6720,low fat,0.020715913,breads,83.5566,supermarket,tier 1,13.15,small,1268.349
1954,regular,0.053887301,fruits and vegetables,225.6088,supermarket,tier 2,10.1,medium,4250.4672
414,low fat,0.160663021,household,59.4562,supermarket,tier 1,15.7,small,829.5868
2845,regular,0.014115626,frozen foods,178.5344,supermarket,tier 2,11.8,medium,3390.2536
7867,regular,0.099113429,snack foods,52.8666,supermarket,tier 2,14.65,small,461.3994
2166,low fat,0.039231652,snack foods,145.1418,supermarket,tier 2,18.0,medium,2648.5524
2776,regular,0.022936488,baking goods,240.8538,supermarket,tier 2,20.25,small,7931.6754
7075,regular,0.0,fruits and vegetables,189.053,supermarket,tier 2,10.3,medium,5313.084
